#Temperature    Energy    Error
1 -2.99988 7.16228e-06
1.25 -2.99917 1.95426e-05
1.5 -2.99583 4.49256e-05
1.75 -2.98678 7.48254e-05
2 -2.96803 0.000121539
2.25 -2.93456 0.000174854
2.5 -2.88253 0.000338874
2.75 -2.80763 0.000310384
3 -2.70537 0.000392989
3.25 -2.56961 0.000676341
3.5 -2.39875 0.000828937
3.75 -2.1835 0.000955897
4 -1.90927 0.00149723
4.25 -1.5591 0.00226243
4.5 -1.05376 0.005214
4.75 -0.840833 0.00130781
5 -0.757845 0.000923777
5.25 -0.697873 0.000837265
5.5 -0.646799 0.000588252
5.75 -0.606678 0.000628814
6 -0.570951 0.000611316
6.25 -0.539943 0.000597456
6.5 -0.51471 0.000590573
6.75 -0.491397 0.000580192
7 -0.468087 0.000691513
7.25 -0.449364 0.000643696
7.5 -0.431037 0.00064619
7.75 -0.414799 0.000612685
8 -0.400132 0.000585047
